Date	Jahr	Region	Tätigkeit	Anforderungsniveau	Geschlecht	Bruttolohn für Sekretariats- und Kanzleiarbeiten	Month	Channel	Owner	Brand	Pack Size	Pack Type	SKU	Price Tier	Unit Sales	Sales Value	Distribution	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit	Unit Sales Monthly Change	Sales Value Monthly Change	Distribution Monthly Change	Cost of Sales Monthly Change	Price Monthly Change	Gross Profit Monthly Change	Indirect Costs Monthly Change	Operating Profit Monthly Change
01/01/2002	2002	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Mann	7936																								
01/01/2002	2002	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Frau	5727																								
01/01/2004	2004	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Mann	7416																								
01/01/2004	2004	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Frau	5944																								
01/01/2006	2006	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Mann	8257																								
01/01/2006	2006	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Frau	6112																								
01/01/2008	2008	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Mann	8566																								
01/01/2008	2008	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Frau	6221																								
01/01/2010	2010	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Mann	8490																								
01/01/2010	2010	Schweiz	Sekretariats- und Kanzleiarbeiten	Niveau 1+2	Frau	6229																								
